Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,churn_probability,predicted_churn,estimated_annual_revenue,risk_segment
Female,Yes,Yes,No,16,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),62.28,996.48,0.2247633,0,747.36,Low Risk
Male,Yes,No,No,5,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,78.23,391.15,0.3550316,1,938.76,Medium Risk
Male,No,No,Yes,34,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,85.26,2898.84,0.114069484,0,1023.1200000000001,Low Risk
Male,No,No,No,8,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,99.03,792.24,0.54619294,1,1188.3600000000001,Medium Risk
Female,No,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.23,1379.95,0.052483603,0,254.76,Low Risk
Male,No,No,Yes,42,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),32.42,1361.64,0.0063760625,0,389.04,Low Risk
Female,No,No,No,70,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Credit card (automatic),84.35,5904.5,0.1034331,0,1012.1999999999999,Low Risk
Female,No,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,29.29,615.09,0.033437166,0,351.48,Low Risk
Male,No,Yes,Yes,18,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,59.72,1074.96,0.14234453,0,716.64,Low Risk
Male,No,Yes,Yes,66,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Credit card (automatic),82.5,5445.0,0.010335749,0,990.0,Low Risk
Male,No,No,No,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),26.24,813.44,0.087398335,0,314.88,Low Risk
Male,No,Yes,No,42,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.37,813.54,0.21052277,0,232.44,Low Risk
Male,Yes,Yes,No,52,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),25.92,1347.84,0.10978546,0,311.04,Low Risk
Female,Yes,No,No,0,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),91.79,0.0,0.9093342,1,1101.48,High Risk
Female,Yes,No,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),27.59,1876.12,0.018878676,0,331.08,Low Risk
Male,No,Yes,Yes,33,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,No,Electronic check,107.6,3550.8,0.016573822,0,1291.1999999999998,Low Risk
Female,Yes,Yes,No,28,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.68,1643.04,0.13975045,0,704.16,Low Risk
Female,No,Yes,Yes,20,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,64.6,1292.0,0.024214635,0,775.1999999999999,Low Risk
Female,Yes,Yes,No,68,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,24.3,1652.4,0.028192231,0,291.6,Low Risk
Female,No,Yes,No,46,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.6,947.6,0.13714786,0,247.20000000000002,Low Risk
Female,No,No,No,31,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,112.55,3489.05,0.26112,0,1350.6,Low Risk
Female,No,No,No,35,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),57.41,2009.35,0.07857315,0,688.92,Low Risk
Male,No,Yes,No,47,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),27.03,1270.41,0.07216933,0,324.36,Low Risk
Female,No,No,No,29,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Electronic check,106.23,3080.67,0.12233131,0,1274.76,Low Risk
Male,No,Yes,No,22,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,66.89,1471.58,0.17870224,0,802.6800000000001,Low Risk
Female,No,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,98.85,4250.55,0.15799971,0,1186.1999999999998,Low Risk
Male,No,Yes,Yes,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),28.13,421.95,0.006739807,0,337.56,Low Risk
Female,No,No,No,39,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),62.6,2441.4,0.1577345,0,751.2,Low Risk
Female,No,No,Yes,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,22.81,661.49,0.010407965,0,273.71999999999997,Low Risk
Female,Yes,No,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),91.96,6345.24,0.007900262,0,1103.52,Low Risk
Female,No,No,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.48,117.4,0.029449422,0,281.76,Low Risk
Male,Yes,No,Yes,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),29.08,639.76,0.01541614,0,348.96,Low Risk
Female,Yes,No,No,52,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),103.13,5362.76,0.15070397,0,1237.56,Low Risk
Male,No,No,No,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),32.02,448.28,0.12920168,0,384.24,Low Risk
Male,Yes,No,No,56,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Mailed check,118.66,6644.96,0.0996649,0,1423.92,Low Risk
Female,Yes,No,Yes,28,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,84.01,2352.28,0.0682039,0,1008.1200000000001,Low Risk
Female,Yes,Yes,Yes,35,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),92.33,3231.55,0.012662976,0,1107.96,Low Risk
Female,No,No,Yes,30,No,No phone service,DSL,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),84.42,2532.6,0.014512306,0,1013.04,Low Risk
Male,Yes,No,Yes,56,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Electronic check,51.93,2908.08,0.010350362,0,623.16,Low Risk
Female,No,No,No,69,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,57.18,3945.42,0.050921053,0,686.16,Low Risk
Male,No,Yes,No,45,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),73.95,3327.75,0.15953545,0,887.4000000000001,Low Risk
Male,Yes,No,No,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.16,1053.28,0.042056836,0,217.92000000000002,Low Risk
Male,No,No,No,54,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),89.07,4809.78,0.15891121,0,1068.84,Low Risk
Male,No,No,Yes,72,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),101.41,7301.52,0.0032113502,0,1216.92,Low Risk
Female,Yes,No,Yes,11,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),111.52,1226.72,0.039059505,0,1338.24,Low Risk
Female,Yes,No,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.22,435.96,0.012032509,0,290.64,Low Risk
Male,No,No,No,48,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),66.77,3204.96,0.10413356,0,801.24,Low Risk
Male,Yes,Yes,Yes,38,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Mailed check,68.52,2603.76,0.010731177,0,822.24,Low Risk
Female,Yes,No,No,35,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,No,Electronic check,62.22,2177.7,0.06436217,0,746.64,Low Risk
Female,No,Yes,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.87,1674.46,0.022134602,0,346.44,Low Risk
Male,Yes,Yes,Yes,70,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,62.01,4340.7,0.03934474,0,744.12,Low Risk
Male,Yes,No,Yes,41,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),92.41,3788.81,0.010043821,0,1108.92,Low Risk
Male,Yes,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,86.11,258.33,0.6912548,1,1033.32,High Risk
Female,No,No,No,58,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,One year,No,Credit card (automatic),51.95,3013.1,0.07248997,0,623.4000000000001,Low Risk
Male,No,No,No,32,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,39.83,1274.56,0.029050522,0,477.96,Low Risk
Male,No,Yes,No,45,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.87,849.15,0.058449026,0,226.44,Low Risk
Male,Yes,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),24.25,679.0,0.052652266,0,291.0,Low Risk
Male,No,Yes,Yes,34,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,77.09,2621.06,0.009836462,0,925.08,Low Risk
Male,No,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),103.7,4459.1,0.2575474,0,1244.4,Low Risk
Female,No,No,No,27,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,89.76,2423.52,0.10984118,0,1077.1200000000001,Low Risk
Male,No,Yes,Yes,32,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.01,2848.32,0.00721201,0,1068.1200000000001,Low Risk
Male,No,Yes,No,2,No,No phone service,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),55.25,110.5,0.46524164,1,663.0,Medium Risk
Female,Yes,No,Yes,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.81,769.11,0.05569148,0,297.71999999999997,Low Risk
Female,Yes,No,Yes,9,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,79.86,718.74,0.058160268,0,958.3199999999999,Low Risk
Male,No,No,No,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),23.37,1682.64,0.017255727,0,280.44,Low Risk
Female,No,No,Yes,45,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),102.23,4600.35,0.047006216,0,1226.76,Low Risk
Male,No,Yes,No,60,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),105.38,6322.8,0.28471574,0,1264.56,Low Risk
Female,No,No,No,43,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),51.67,2221.81,0.06961395,0,620.04,Low Risk
Female,No,Yes,Yes,39,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),31.46,1226.94,0.040155534,0,377.52,Low Risk
Female,Yes,No,No,23,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),112.22,2581.06,0.41780502,1,1346.6399999999999,Medium Risk
Male,No,Yes,Yes,23,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),46.7,1074.1,0.058051616,0,560.4000000000001,Low Risk
Male,No,No,No,36,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.97,970.92,0.08393107,0,323.64,Low Risk
Female,Yes,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),74.59,5221.3,0.17550524,0,895.08,Low Risk
Male,No,Yes,No,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Two year,No,Mailed check,81.54,5218.56,0.028795125,0,978.48,Low Risk
Male,Yes,No,No,17,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,97.44,1656.48,0.12205773,0,1169.28,Low Risk
Female,Yes,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,31.5,189.0,0.02439186,0,378.0,Low Risk
Female,Yes,Yes,Yes,37,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),38.38,1420.06,0.008565572,0,460.56000000000006,Low Risk
Female,Yes,No,No,32,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),52.61,1683.52,0.109527275,0,631.3199999999999,Low Risk
Female,Yes,Yes,Yes,58,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),84.46,4898.68,0.003566589,0,1013.52,Low Risk
Male,Yes,No,No,6,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),86.95,521.7,0.50693494,1,1043.4,Medium Risk
Female,No,Yes,No,10,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),34.92,349.2,0.26167098,0,419.04,Low Risk
Male,Yes,No,No,39,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),30.2,1177.8,0.153544,0,362.4,Low Risk
Female,Yes,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.84,1009.4,0.05350234,0,346.08,Low Risk
Male,No,Yes,Yes,8,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),92.2,737.6,0.21093175,0,1106.4,Low Risk
Female,No,No,Yes,14,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Mailed check,119.82,1677.48,0.032677196,0,1437.84,Low Risk
Male,Yes,Yes,No,22,No,No phone service,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),70.59,1552.98,0.1472752,0,847.08,Low Risk
Male,Yes,Yes,Yes,30,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),50.46,1513.8,0.0065885046,0,605.52,Low Risk
Female,Yes,Yes,No,9,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),111.57,1004.13,0.43075126,1,1338.84,Medium Risk
Male,Yes,No,Yes,44,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,60.13,2645.72,0.06995062,0,721.5600000000001,Low Risk
Female,Yes,Yes,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,21.58,107.9,0.017156098,0,258.96,Low Risk
Female,No,No,No,31,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,94.21,2920.51,0.22316477,0,1130.52,Low Risk
Female,No,No,No,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),27.55,440.8,0.06300023,0,330.6,Low Risk
Male,No,No,Yes,18,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),79.49,1430.82,0.10542366,0,953.8799999999999,Low Risk
Female,No,No,Yes,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.77,283.47,0.100386254,0,309.24,Low Risk
Male,Yes,No,No,60,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.14,1088.4,0.08554331,0,217.68,Low Risk
Female,No,No,No,5,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,73.22,366.1,0.11664884,0,878.64,Low Risk
Male,No,No,No,71,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,70.68,5018.28,0.02740352,0,848.1600000000001,Low Risk
Male,No,No,Yes,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.72,1186.0,0.0071697026,0,284.64,Low Risk
Female,Yes,No,No,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),23.23,325.22,0.03772618,0,278.76,Low Risk
Female,Yes,Yes,No,21,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,50.68,1064.28,0.3059849,1,608.16,Medium Risk
Female,No,Yes,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,26.13,1724.58,0.0034446043,0,313.56,Low Risk
Female,No,No,No,61,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),85.85,5236.85,0.06402915,0,1030.1999999999998,Low Risk
Male,No,No,No,18,No,No phone service,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),45.7,822.6,0.08003551,0,548.4000000000001,Low Risk
Male,Yes,Yes,Yes,6,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),35.26,211.56,0.027750475,0,423.12,Low Risk
Female,No,Yes,No,41,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.01,779.41,0.16224338,0,228.12,Low Risk
Male,No,Yes,Yes,50,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Mailed check,49.23,2461.5,0.011624423,0,590.76,Low Risk
Female,No,Yes,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.37,939.54,0.029040158,0,268.44,Low Risk
Female,Yes,Yes,No,54,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),81.79,4416.66,0.15901244,0,981.48,Low Risk
Male,No,No,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.11,916.18,0.10196167,0,289.32,Low Risk
Female,No,Yes,No,64,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.0,1280.0,0.0461511,0,240.0,Low Risk
Male,Yes,No,Yes,58,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,73.91,4286.78,0.011396232,0,886.92,Low Risk
Male,Yes,Yes,No,66,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,41.6,2745.6,0.16453515,0,499.20000000000005,Low Risk
Female,No,Yes,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.24,615.68,0.0319996,0,230.88,Low Risk
Male,Yes,No,Yes,36,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),53.78,1936.08,0.010616484,0,645.36,Low Risk
Male,Yes,No,Yes,28,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,87.31,2444.68,0.030235322,0,1047.72,Low Risk
Male,No,Yes,Yes,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.57,482.82,0.0029005269,0,222.84,Low Risk
Male,No,No,Yes,69,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),78.81,5437.89,0.012528823,0,945.72,Low Risk
Female,No,Yes,Yes,54,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,49.99,2699.46,0.04642478,0,599.88,Low Risk
Male,No,Yes,No,7,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,102.34,716.38,0.5746474,1,1228.08,Medium Risk
Male,Yes,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),30.31,151.55,0.042386144,0,363.71999999999997,Low Risk
Male,No,No,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,34.99,944.73,0.0094322795,0,419.88,Low Risk
Female,Yes,No,No,48,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),29.03,1393.44,0.043320462,0,348.36,Low Risk
Female,No,Yes,No,40,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),97.67,3906.8,0.066548154,0,1172.04,Low Risk
Male,Yes,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),29.13,1398.24,0.0043427614,0,349.56,Low Risk
Female,No,No,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.29,1228.05,0.04906535,0,327.48,Low Risk
Male,Yes,Yes,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.57,349.69,0.20175914,0,246.84,Low Risk
Male,No,No,Yes,0,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,40.35,0.0,0.47440898,1,484.20000000000005,Medium Risk
Male,No,No,No,50,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),74.68,3734.0,0.09929548,0,896.1600000000001,Low Risk
Male,Yes,Yes,Yes,63,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,31.33,1973.79,0.006984458,0,375.96,Low Risk
Male,Yes,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.58,137.9,0.17834535,0,330.96,Low Risk
Male,Yes,Yes,No,9,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,60.04,540.36,0.28672755,0,720.48,Low Risk
