Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges
Female,Yes,Yes,No,16,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),62.28,996.48
Male,Yes,No,No,5,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,78.23,391.15
Male,No,No,Yes,34,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,85.26,2898.84
Male,No,No,No,8,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,99.03,792.24
Female,No,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.23,1379.95
Male,No,No,Yes,42,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),32.42,1361.64
Female,No,No,No,70,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Credit card (automatic),84.35,5904.5
Female,No,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,29.29,615.09
Male,No,Yes,Yes,18,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,59.72,1074.96
Male,No,Yes,Yes,66,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Credit card (automatic),82.5,5445.0
Male,No,No,No,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),26.24,813.44
Male,No,Yes,No,42,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.37,813.54
Male,Yes,Yes,No,52,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),25.92,1347.84
Female,Yes,No,No,0,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),91.79,0.0
Female,Yes,No,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),27.59,1876.12
Male,No,Yes,Yes,33,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,No,Electronic check,107.6,3550.8
Female,Yes,Yes,No,28,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.68,1643.04
Female,No,Yes,Yes,20,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,64.6,1292.0
Female,Yes,Yes,No,68,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,24.3,1652.4
Female,No,Yes,No,46,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.6,947.6
Female,No,No,No,31,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,112.55,3489.05
Female,No,No,No,35,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),57.41,2009.35
Male,No,Yes,No,47,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),27.03,1270.41
Female,No,No,No,29,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Electronic check,106.23,3080.67
Male,No,Yes,No,22,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,66.89,1471.58
Female,No,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,98.85,4250.55
Male,No,Yes,Yes,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),28.13,421.95
Female,No,No,No,39,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),62.6,2441.4
Female,No,No,Yes,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,22.81,661.49
Female,Yes,No,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),91.96,6345.24
Female,No,No,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.48,117.4
Male,Yes,No,Yes,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),29.08,639.76
Female,Yes,No,No,52,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),103.13,5362.76
Male,No,No,No,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),32.02,448.28
Male,Yes,No,No,56,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Mailed check,118.66,6644.96
Female,Yes,No,Yes,28,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,84.01,2352.28
Female,Yes,Yes,Yes,35,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),92.33,3231.55
Female,No,No,Yes,30,No,No phone service,DSL,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),84.42,2532.6
Male,Yes,No,Yes,56,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Electronic check,51.93,2908.08
Female,No,No,No,69,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,57.18,3945.42
Male,No,Yes,No,45,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),73.95,3327.75
Male,Yes,No,No,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.16,1053.28
Male,No,No,No,54,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),89.07,4809.78
Male,No,No,Yes,72,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),101.41,7301.52
Female,Yes,No,Yes,11,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),111.52,1226.72
Female,Yes,No,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.22,435.96
Male,No,No,No,48,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),66.77,3204.96
Male,Yes,Yes,Yes,38,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Mailed check,68.52,2603.76
Female,Yes,No,No,35,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,No,Electronic check,62.22,2177.7
Female,No,Yes,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.87,1674.46
Male,Yes,Yes,Yes,70,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,62.01,4340.7
Male,Yes,No,Yes,41,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),92.41,3788.81
Male,Yes,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,86.11,258.33
Female,No,No,No,58,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,One year,No,Credit card (automatic),51.95,3013.1
Male,No,No,No,32,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,39.83,1274.56
Male,No,Yes,No,45,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.87,849.15
Male,Yes,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),24.25,679.0
Male,No,Yes,Yes,34,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,77.09,2621.06
Male,No,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),103.7,4459.1
Female,No,No,No,27,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,89.76,2423.52
Male,No,Yes,Yes,32,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.01,2848.32
Male,No,Yes,No,2,No,No phone service,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),55.25,110.5
Female,Yes,No,Yes,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.81,769.11
Female,Yes,No,Yes,9,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,79.86,718.74
Male,No,No,No,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),23.37,1682.64
Female,No,No,Yes,45,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),102.23,4600.35
Male,No,Yes,No,60,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),105.38,6322.8
Female,No,No,No,43,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),51.67,2221.81
Female,No,Yes,Yes,39,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),31.46,1226.94
Female,Yes,No,No,23,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),112.22,2581.06
Male,No,Yes,Yes,23,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),46.7,1074.1
Male,No,No,No,36,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.97,970.92
Female,Yes,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),74.59,5221.3
Male,No,Yes,No,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Two year,No,Mailed check,81.54,5218.56
Male,Yes,No,No,17,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,97.44,1656.48
Female,Yes,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,31.5,189.0
Female,Yes,Yes,Yes,37,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),38.38,1420.06
Female,Yes,No,No,32,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),52.61,1683.52
Female,Yes,Yes,Yes,58,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),84.46,4898.68
Male,Yes,No,No,6,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),86.95,521.7
Female,No,Yes,No,10,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),34.92,349.2
Male,Yes,No,No,39,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),30.2,1177.8
Female,Yes,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.84,1009.4
Male,No,Yes,Yes,8,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),92.2,737.6
Female,No,No,Yes,14,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Mailed check,119.82,1677.48
Male,Yes,Yes,No,22,No,No phone service,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),70.59,1552.98
Male,Yes,Yes,Yes,30,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),50.46,1513.8
Female,Yes,Yes,No,9,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),111.57,1004.13
Male,Yes,No,Yes,44,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,60.13,2645.72
Female,Yes,Yes,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,21.58,107.9
Female,No,No,No,31,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,94.21,2920.51
Female,No,No,No,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),27.55,440.8
Male,No,No,Yes,18,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),79.49,1430.82
Female,No,No,Yes,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.77,283.47
Male,Yes,No,No,60,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.14,1088.4
Female,No,No,No,5,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,73.22,366.1
Male,No,No,No,71,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,70.68,5018.28
Male,No,No,Yes,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.72,1186.0
Female,Yes,No,No,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),23.23,325.22
Female,Yes,Yes,No,21,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,50.68,1064.28
Female,No,Yes,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,26.13,1724.58
Female,No,No,No,61,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),85.85,5236.85
Male,No,No,No,18,No,No phone service,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),45.7,822.6
Male,Yes,Yes,Yes,6,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),35.26,211.56
Female,No,Yes,No,41,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.01,779.41
Male,No,Yes,Yes,50,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Mailed check,49.23,2461.5
Female,No,Yes,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.37,939.54
Female,Yes,Yes,No,54,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),81.79,4416.66
Male,No,No,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.11,916.18
Female,No,Yes,No,64,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.0,1280.0
Male,Yes,No,Yes,58,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,73.91,4286.78
Male,Yes,Yes,No,66,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,41.6,2745.6
Female,No,Yes,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.24,615.68
Male,Yes,No,Yes,36,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),53.78,1936.08
Male,Yes,No,Yes,28,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,87.31,2444.68
Male,No,Yes,Yes,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.57,482.82
Male,No,No,Yes,69,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),78.81,5437.89
Female,No,Yes,Yes,54,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,49.99,2699.46
Male,No,Yes,No,7,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,102.34,716.38
Male,Yes,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),30.31,151.55
Male,No,No,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,34.99,944.73
Female,Yes,No,No,48,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),29.03,1393.44
Female,No,Yes,No,40,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),97.67,3906.8
Male,Yes,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),29.13,1398.24
Female,No,No,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.29,1228.05
Male,Yes,Yes,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.57,349.69
Male,No,No,Yes,0,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,40.35,0.0
Male,No,No,No,50,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),74.68,3734.0
Male,Yes,Yes,Yes,63,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,31.33,1973.79
Male,Yes,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.58,137.9
Male,Yes,Yes,No,9,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,60.04,540.36
Female,Yes,Yes,No,50,No,No phone service,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,56.59,2829.5
Female,Yes,Yes,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),31.33,1065.22
Female,Yes,Yes,Yes,39,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,92.44,3605.16
Male,Yes,No,Yes,41,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),69.27,2840.07
Female,No,No,Yes,8,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Mailed check,117.21,937.68
Female,Yes,Yes,No,0,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),85.02,0.0
Female,Yes,No,No,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),31.29,1157.73
Female,No,Yes,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.85,1783.65
Female,Yes,No,No,17,No,No phone service,DSL,No,Yes,No,No,Yes,No,One year,No,Credit card (automatic),84.54,1437.18
Male,No,Yes,Yes,31,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),39.93,1237.83
Female,No,No,Yes,44,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),50.59,2225.96
Female,No,Yes,No,57,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,68.86,3925.02
Male,No,No,No,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.14,613.06
Male,Yes,No,No,49,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),44.85,2197.65
Female,No,No,Yes,44,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),81.93,3604.92
Male,No,No,Yes,49,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),44.35,2173.15
Male,No,Yes,Yes,49,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,98.27,4815.23
Female,Yes,No,Yes,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),26.68,1547.44
Female,Yes,No,Yes,54,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,113.26,6116.04
Female,No,Yes,Yes,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),23.96,622.96
Female,No,No,Yes,17,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),76.42,1299.14
Male,No,No,No,57,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),113.45,6466.65
Female,Yes,No,Yes,54,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,114.71,6194.34
Female,Yes,Yes,Yes,56,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,39.67,2221.52
Female,Yes,Yes,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.55,762.45
Female,Yes,Yes,Yes,66,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,38.54,2543.64
Male,No,No,No,17,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),71.12,1209.04
Female,Yes,Yes,Yes,17,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Electronic check,82.41,1400.97
Female,Yes,Yes,No,37,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),119.34,4415.58
Female,No,Yes,No,9,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),66.43,597.87
Female,Yes,Yes,No,10,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,69.93,699.3
Male,Yes,No,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,30.61,1775.38
Male,Yes,Yes,Yes,63,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.79,1687.77
Female,Yes,No,Yes,3,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,95.54,286.62
Female,Yes,No,Yes,14,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),81.01,1134.14
Male,No,Yes,No,40,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),82.7,3308.0
Female,No,Yes,No,1,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,84.89,84.89
Male,No,Yes,Yes,69,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.27,2226.63
Female,No,Yes,Yes,67,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),114.86,7695.62
Female,Yes,Yes,Yes,50,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),105.04,5252.0
Female,No,Yes,Yes,25,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),41.04,1026.0
